번호,분류,식당명,메뉴,가격,링크,별점,코멘트,거리(분),위도,경도,주소,이미지
1,한식,온수반,"온면, 온반",,"https://map.naver.com/v5/entry/place/1744314513?c=14143035.6294062,4509820.2826689,12.55,0,0,0,dh&placePath=%2Fhome&entry=plt", ,,,37.5052878,127.0422779,서울 강남구 언주로98길 5-3,https://pcmap.place.naver.com/restaurant/1744314513/menu/1744314513_0#
2,한식,이화수전통육개장,"육개장, 육개장칼국수, 순두부육개장",,https://naver.me/52lTRoQI, ,,,37.4990314,127.0357418,서울 강남구 논현로85길 22,https://pcmap.place.naver.com/restaurant/36620276/menu/36620276_0#
3,한식,심가네 칼국수,"칼국수, 떡만둣국",,https://naver.me/GaMTr3hk,,사골육수,5-10분,37.503175,127.0385351,서울 강남구 논현로94길 29-3,
4,한식,꿀꼬꼬,돼지고기 김치찌개,,https://naver.me/5U9HSjDq,★★★★★,,,37.5038104,127.0394258,서울 강남구 언주로93길 28-7,
5,한식,복돈이 순대국,순대국,"9,000원 ~",https://naver.me/ForX7J4a,,,,37.5036907,127.0405331,서울 강남구 테헤란로37길 22,
6,한식,제이돈까스,경양식 돈가스,,https://naver.me/5SW9WmB0,★★★★★,밥/빵/스프 무한리필,,37.5052704,127.040752,서울 강남구 언주로97길 7,
7,한식,돈지가,"제육,햄부침,오징어볶음",,https://naver.me/G6DLPtWx,,,,37.507151,127.0353009,서울 강남구 봉은사로30길 7,
8,한식,이도곰탕 ,곰탕,"12,000원",http://naver.me/xvE2J8IZ,,대기가 있을때도 있지만 주문하고 음식이 바로 나옴,,37.5033562,127.0384558,서울 강남구 논현로94길 29-5,
9,한식,네모오징어 선릉점,"갑오징어불고기, 오징어불고기",,http://naver.me/5jAHmY5r,,,,37.5048214,127.0443199,서울 강남구 언주로98길 31,
10,한식,명가갈비찜 ,"갈비찜, 매운갈비찜 ",,http://naver.me/x6ZFY2hC,★★★★★,매장이 넓지않아서 좀 일찍 가는것을 추천 ,,37.5070406,127.0355304,서울 강남구 언주로107길 46,
