번호,분류,식당명,메뉴,가격,링크,별점,코멘트,폐업
1,한식,온수반,"온면, 온반",,"https://map.naver.com/v5/entry/place/1744314513?c=14143035.6294062,4509820.2826689,12.55,0,0,0,dh&placePath=%2Fhome&entry=plt",,,FALSE
2,한식,이화수전통육개장,"육개장, 육개장칼국수, 순두부육개장",,https://naver.me/52lTRoQI,,,FALSE
3,한식,심가네 칼국수,"칼국수, 떡만둣국",,https://naver.me/GaMTr3hk,,사골육수,FALSE
4,한식,꿀꼬꼬,돼지고기 김치찌개,,https://naver.me/5U9HSjDq,★★★★★,,FALSE
5,한식,복돈이 순대국,순대국,"9,000원 ~",https://naver.me/ForX7J4a,,,FALSE
6,돈까스·회·일식,제이돈까스,경양식 돈가스,,https://naver.me/5SW9WmB0,★★★★★,밥/빵/스프 무한리필,FALSE
7,한식,돈지가,"제육,햄부침,오징어볶음",,https://naver.me/G6DLPtWx,,,FALSE
8,한식,이도곰탕,곰탕,"12,000원",http://naver.me/xvE2J8IZ,,대기가 있을때도 있지만 주문하고 음식이 바로 나옴,FALSE
9,한식,네모오징어 선릉점,"갑오징어불고기, 오징어불고기",,http://naver.me/5jAHmY5r,,,FALSE
10,한식,명가갈비찜,"갈비찜, 매운갈비찜",,http://naver.me/x6ZFY2hC,★★★★★,매장이 넓지않아서 좀 일찍 가는것을 추천,FALSE
11,분식,민들레 떡볶이,즉석 떡볶이,,http://naver.me/FeetdDmJ,,,FALSE
12,한식,독도주꾸미,쭈꾸+삼겹,,http://naver.me/FPuiiGRX,,,FALSE
13,한식,하늘식당,"제육볶음, 소불고기,","8,000원",http://naver.me/GC6Nt5nw,,,FALSE
14,한식,미로정,부대찌개,,http://naver.me/xdVMcvhv,,"건더기는 평범, 국물이 좋아요! / 밥+라면사리+육수 무한제공~/부대볶음은 별로임",FALSE
15,한식,논현손칼국수,"칼국수, 수제비, 콩국수",,https://naver.me/5Z0LyuRG,,,FALSE
16,한식,우리집,"삼치구이, 오징어볶음","8,000원","https://map.naver.com/v5/search/%EC%97%AD%EC%82%BC%EB%8F%99%EC%9A%B0%EB%A6%AC%EC%A7%91/place/11864797?c=14141880.2037924,4509396.7425613,18.81,0,0,0,dh",★★★★★,"포항식 밥집 / 집밥 느낌, 콩나물국 많이 짜",FALSE
17,한식,유미식당,"육회비빔밥+찌개, 생선구이+찌개","13,000원","https://map.naver.com/v5/entry/place/1477237458?c=14141805.4008612,4509447.7137260,18.34,0,0,0,dh",★★★★★,인테리어 깔끔,FALSE
18,한식,방일해장국,"소고기국밥,선지해장국,해장국","10,000원","https://map.naver.com/v5/entry/place/13156287?c=14141540.6402850,4510454.8383101,18.95,0,0,0,dh",★★★★★,,FALSE
19,한식,롤리폴리꼬또,"라면, 카레, 우동","5,800~12,800원",https://naver.me/xWNiofje,,"오뚜기에서 운영. 우삼겹 라면, 소고기사과 카레 추천",FALSE
20,한식,방이편백 육분삼심 역삼역점,"편백찜(이베리코, 소고기), 점심 메뉴",,https://naver.me/xlW1858s,,"편백찜 강추!! 점심전용 밥 메뉴는, 맛은 있지만 양이 적음",FALSE
21,한식,담뿍화로된장찌개,된장찌개,"10,000원","https://map.naver.com/v5/entry/place/1146096967?c=14141727.3879987,4509848.0244072,15,0,0,0,dh",,"비오는날 추천, 된장찌개+달걀후라이",FALSE
22,한식,서울집,"칼국수, 만두",,https://naver.me/FPsewu6C,,"황해도식 만두굿, 양많음, 밥은 달라고 하면 반그릇 줌",FALSE
23,한식,나비식탁,한식 집밥,,https://naver.me/x6Pfkqkm,,매일 바뀌는 집밥 메뉴! 리필도 가능,FALSE
24,한식,봄날,한정식,"10,000원~",https://naver.me/xM280c9v,,,FALSE
25,한식,마계촌,"부대순두부, 해물순두부, 매생이굴순두부, 제육볶음","8,500~",https://naver.me/5nPfICiO,,"바른손두부집 사장님이 새로연 점심엔 손두부, 저녁엔 포차",TRUE
26,중식,마라공방,"마라탕, 마라샹궈, 꿔바로우",,http://naver.me/FFvnz4xl,,,FALSE
27,중식,나향반점,중국집,,https://naver.me/GvkXd8N3,,강추!!,FALSE
28,중식,오한수 우육면가 (선릉점),"우육탕면, 완탕면, 군만두",,https://naver.me/xTeSZnE2,,"우육탕면, 군만두 추천!",FALSE
29,중식,오한수 우육면가 (역삼점),"우육탕면, 완탕면, 군만두",,https://naver.me/GFpYhZUn,,,FALSE
30,중식,동방미식,"마라탕, 간짜장, 마파볶음면, 마라샹궈",9000 ~,"https://map.naver.com/v5/entry/place/1287244420?c=14141567.3310062,4509913.6422371,13,0,0,0,dh&placePath=%2F",,마라 마니아 추천,FALSE
